crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
5A,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Brooklyn,OTHER/RESIDENTIAL,May,afternoon
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHERN,Wyman Park,CONVENIENCE STORE,May,night
6J,LARCENY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Morrell Park,STREET,May,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Edgewood,STREET,May,night
6J,LARCENY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHWEST,Glen,SHED/GARAGE,May,afternoon
6J,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Wilhelm Park,OFFICE BUILDING,May,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHWEST,Pimlico Good Neighbors,SHED/GARAGE,May,morning
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,CONVENIENCE STORE,May,evening
6F,LARCENY,Outside,PERSONAL_WEAPONS,Male,80.0,WHITE,SOUTHEAST,Graceland Park,UNKNOWN,May,afternoon
4B,AGG. ASSAULT,Inside,PERSONAL_WEAPONS,Male,72.0,WHITE,NORTHERN,Harwood,GAS STATION,May,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHEAST,Waltherson,SHED/GARAGE,May,evening
