crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,24.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Washington Village/Pigtown,STREET,September,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,23.0,WHITE,CENTRAL,Mount Vernon,STREET,September,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,54.0,Unknown,CENTRAL,Mount Vernon,STREET,September,evening
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,38.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Pulaski Industrial Area,SHED/GARAGE,September,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Hanlon-Longwood,OTHER/RESIDENTIAL,September,morning
6F,LARCENY,Outside,PERSONAL_WEAPONS,Female,27.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Hanlon-Longwood,OTHER/RESIDENTIAL,September,morning
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,27.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Woodmere,OTHER/RESIDENTIAL,September,morning
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,21.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,New Northwood,OTHER/RESIDENTIAL,September,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,25.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Cedmont,GAS STATION,September,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,65.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,GAY STREET,OTHER/RESIDENTIAL,September,evening
6F,LARCENY,Inside,NO_Weapon_Involved,Female,21.0,WHITE,SOUTHERN,Sharp-Leadenhall,STREET,September,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,56.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Washington Village/Pigtown,STREET,September,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Male,42.0,WHITE,NORTHEAST,Frankford,STREET,September,night
